,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1772,CHEMBL3752637,C[C@]12CC[C@H]3[C@@H](Cc4noc5c4[C@]3(C)CCC5=O)[C@@H]1CC[C@@H]2O,inactive,315.413,3.268300000000002,1.0,4.0,4.731185757577869
1777,CHEMBL3754157,C[C@]12CCC(=O)C3=C1C(=Nc1ccccc1S3)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,inactive,405.5630000000003,5.903400000000005,0.0,4.0,4.373658605925268
1778,CHEMBL3751913,C[C@]12CC[C@H]3[C@@H](Cc4nn(Cc5ccccc5)c5c4[C@]3(C)CCC5=O)[C@@H]1CC[C@@H]2O,active,404.55400000000026,4.525100000000005,1.0,4.0,6.610656688747922
1779,CHEMBL3751984,C[C@]12CC[C@H]3[C@@H](Cc4n[nH]c5c4[C@]3(C)CCC5=O)[C@@H]1CC[C@@H]2O,active,314.42900000000003,3.0034000000000023,2.0,3.0,6.626904012921273
1784,CHEMBL3794417,O=c1cc(Cc2ccncc2)oc2cc(F)ccc12,inactive,255.248,2.9179000000000013,0.0,3.0,4.999995657076895
1787,CHEMBL3799363,C[C@]12CCC(=O)C=C1CC[C@@H]1C2=CC[C@]2(C)C(=O)CC[C@@H]12,active,284.399,4.007500000000003,0.0,2.0,6.601886308269497
1788,CHEMBL3800417,C[C@]12CC[C@H]3[C@@H](CC[C@]45O[C@H]4CCC[C@]35C)[C@@H]1CCC2=O,active,288.43100000000004,4.119600000000004,0.0,2.0,6.275642195773574
1789,CHEMBL3798461,C[C@]12CC[C@H]3C[C@H]3[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,286.459,4.844200000000005,0.0,1.0,6.9582126810282485
1790,CHEMBL3799189,C[C@H](O)C/C=C/CCCCC1Cc2cc(O)cc(O)c2C(=O)O1,inactive,320.38500000000005,3.066800000000002,3.0,5.0,4.909738419101845
1791,CHEMBL3805021,COC(=O)c1ccccc1S(=O)(=O)N1CCCC(Cn2ccnc2)C1,active,363.439,1.7706,0.0,6.0,7.274905478918531
1792,CHEMBL3805310,Cc1cc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)ccc1F,active,337.42,2.431520000000001,0.0,4.0,7.617982957425132
1793,CHEMBL3805173,COc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1F,active,353.41900000000004,2.1317000000000004,0.0,5.0,7.85078088734462
1794,CHEMBL3806301,O=[N+]([O-])c1cccc(Cl)c1Oc1cccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)c1,active,476.9420000000003,4.337900000000004,0.0,7.0,8.040958607678906
1795,CHEMBL3805481,O=S(=O)(c1ccc(F)c(Cl)c1)N1CCCC(Cn2ccnc2)C1,active,357.838,2.7765000000000013,0.0,4.0,7.85078088734462
1796,CHEMBL3805211,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCCC(Cn2ccnc2)C1,active,363.439,1.7551999999999999,0.0,6.0,7.882728704344236
1797,CHEMBL3806151,O=S(=O)(c1cccc2nsnc12)N1CCCC(Cn2ccnc2)C1,active,363.468,1.9887,0.0,7.0,7.266802734893431
